"filename", "language", "Markdown", "Python", "HTML", "XML", "Desktop", "TOML", "pip requirements", "JSON", "comment", "blank", "total"
"/home/dana/Documents/Projects/Python/PyPlate/template/all/CHANGELOG.md", "Markdown", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/home/dana/Documents/Projects/Python/PyPlate/template/all/README.md", "Markdown", 81, 0, 0, 0, 0, 0, 0, 0, 0, 15, 96
"/home/dana/Documents/Projects/Python/PyPlate/template/all/misc/checklist.html", "HTML", 0, 0, 27, 0, 0, 0, 0, 0, 12, 8, 47
"/home/dana/Documents/Projects/Python/PyPlate/template/all/misc/cnlibs.py", "Python", 0, 14, 0, 0, 0, 0, 0, 0, 12, 10, 36
"/home/dana/Documents/Projects/Python/PyPlate/template/all/misc/default_class.py", "Python", 0, 38, 0, 0, 0, 0, 0, 0, 47, 29, 114
"/home/dana/Documents/Projects/Python/PyPlate/template/all/misc/default_mod.py", "Python", 0, 28, 0, 0, 0, 0, 0, 0, 32, 25, 85
"/home/dana/Documents/Projects/Python/PyPlate/template/all/pyproject.toml", "TOML", 0, 0, 0, 0, 0, 21, 0, 0, 10, 5, 36
"/home/dana/Documents/Projects/Python/PyPlate/template/all/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/dana/Documents/Projects/Python/PyPlate/template/gui/src/appmain.py", "Python", 0, 49, 0, 0, 0, 0, 0, 0, 40, 25, 114
"/home/dana/Documents/Projects/Python/PyPlate/template/gui/src/support/desktop/__PP_NAME_SMALL__.desktop", "Desktop", 0, 0, 0, 0, 10, 0, 0, 0, 8, 3, 21
"/home/dana/Documents/Projects/Python/PyPlate/template/gui/src/support/desktop/template.desktop", "Desktop", 0, 0, 0, 0, 10, 0, 0, 0, 8, 3, 21
"/home/dana/Documents/Projects/Python/PyPlate/template/gui/src/support/ui/__PP_NAME_SMALL__Gtk3.ui", "XML", 0, 0, 0, 211, 0, 0, 0, 0, 2, 1, 214
"/home/dana/Documents/Projects/Python/PyPlate/template/gui/src/support/ui/dialogs.ui", "XML", 0, 0, 0, 124, 0, 0, 0, 0, 1, 1, 126
"/home/dana/Documents/Projects/Python/PyPlate/template/gui/src/windowmain.py", "Python", 0, 102, 0, 0, 0, 0, 0, 0, 64, 51, 217
"/home/dana/Documents/Projects/Python/PyPlate/template/pkg/src/__PP_NAME_SMALL__/__PP_NAME_SEC__.py", "Python", 0, 28, 0, 0, 0, 0, 0, 0, 33, 25, 86
"/home/dana/Documents/Projects/Python/PyPlate/template/pkg/src/__PP_NAME_SMALL__/__init__.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 8, 3, 14
"/home/dana/Documents/Projects/Python/PyPlate/template/pkg/tests/__PP_NAME_SMALL___test.py", "Python", 0, 11, 0, 0, 0, 0, 0, 0, 43, 20, 74
"Total", "-", 483, 3854, 54, 335, 20, 59, 0, 1, 3245, 2032, 10083
