Date : 2024-11-06 20:01:39
Directory : /home/dana/Documents/Projects/Python/PyPlate
Total : 1316 files,  329224 codes, 23493 comments, 47021 blanks, all 399738 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| .venv-pyplate/lib/python3.12                                                                                                                           |      1,240 |    327,395 |     22,418 |     46,736 |    396,549 |
| .venv-pyplate/lib/python3.12/site-packages                                                                                                             |      1,240 |    327,395 |     22,418 |     46,736 |    396,549 |
| .venv-pyplate/lib/python3.12/site-packages (Files)                                                                                                     |          4 |        507 |         51 |         84 |        642 |
| .venv-pyplate/lib/python3.12/site-packages/Markdown-3.7.dist-info                                                                                      |          1 |         24 |          0 |          7 |         31 |
| .venv-pyplate/lib/python3.12/site-packages/alabaster                                                                                                   |         10 |        455 |         20 |         49 |        524 |
| .venv-pyplate/lib/python3.12/site-packages/alabaster (Files)                                                                                           |          8 |        450 |         19 |         47 |        516 |
| .venv-pyplate/lib/python3.12/site-packages/alabaster-1.0.0.dist-info                                                                                   |          1 |         27 |          0 |          8 |         35 |
| .venv-pyplate/lib/python3.12/site-packages/alabaster/static                                                                                            |          2 |          5 |          1 |          2 |          8 |
| .venv-pyplate/lib/python3.12/site-packages/babel                                                                                                       |         27 |      9,623 |        581 |      2,125 |     12,329 |
| .venv-pyplate/lib/python3.12/site-packages/babel (Files)                                                                                               |         11 |      5,694 |        253 |      1,350 |      7,297 |
| .venv-pyplate/lib/python3.12/site-packages/babel/localtime                                                                                             |          5 |        227 |         45 |         73 |        345 |
| .venv-pyplate/lib/python3.12/site-packages/babel/messages                                                                                              |         11 |      3,702 |        283 |        702 |      4,687 |
| .venv-pyplate/lib/python3.12/site-packages/cairo                                                                                                       |          3 |     -4,801 |        -51 |     -1,331 |     -6,183 |
| .venv-pyplate/lib/python3.12/site-packages/cairo (Files)                                                                                               |          2 |     -4,628 |         -9 |     -1,279 |     -5,916 |
| .venv-pyplate/lib/python3.12/site-packages/cairo/include                                                                                               |          1 |       -173 |        -42 |        -52 |       -267 |
| .venv-pyplate/lib/python3.12/site-packages/certifi                                                                                                     |          3 |         68 |         37 |         28 |        133 |
| .venv-pyplate/lib/python3.12/site-packages/charset_normalizer                                                                                          |         12 |      4,324 |         44 |        559 |      4,927 |
| .venv-pyplate/lib/python3.12/site-packages/charset_normalizer (Files)                                                                                  |         10 |      4,029 |         44 |        526 |      4,599 |
| .venv-pyplate/lib/python3.12/site-packages/charset_normalizer/cli                                                                                      |          2 |        295 |          0 |         33 |        328 |
| .venv-pyplate/lib/python3.12/site-packages/cnapplib-0.0.1.dist-info                                                                                    |          1 |          1 |          0 |          0 |          1 |
| .venv-pyplate/lib/python3.12/site-packages/cninstalllib-0.0.1.dist-info                                                                                |          1 |          1 |          0 |          0 |          1 |
| .venv-pyplate/lib/python3.12/site-packages/cnlib-0.0.1.dist-info                                                                                       |          1 |          1 |          0 |          0 |          1 |
| .venv-pyplate/lib/python3.12/site-packages/docutils                                                                                                    |        160 |     38,706 |      3,949 |      6,816 |     49,471 |
| .venv-pyplate/lib/python3.12/site-packages/docutils (Files)                                                                                            |          9 |      5,279 |        257 |      1,272 |      6,808 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/languages                                                                                          |         30 |      1,373 |        254 |        220 |      1,847 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/parsers                                                                                            |         47 |      8,529 |        686 |      1,219 |     10,434 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/parsers (Files)                                                                                    |          4 |        207 |         51 |         61 |        319 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/parsers/rst                                                                                        |         43 |      8,322 |        635 |      1,158 |     10,115 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/parsers/rst (Files)                                                                                |          4 |      3,852 |        113 |        575 |      4,540 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/parsers/rst/directives                                                                             |          9 |      1,920 |        121 |        369 |      2,410 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/parsers/rst/languages                                                                              |         30 |      2,550 |        401 |        214 |      3,165 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/readers                                                                                            |          4 |        187 |         20 |         69 |        276 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/transforms                                                                                         |          9 |      2,182 |        155 |        437 |      2,774 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/utils                                                                                              |         15 |      8,142 |        817 |      1,353 |     10,312 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/utils (Files)                                                                                      |          7 |      1,989 |        200 |        456 |      2,645 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/utils/math                                                                                         |          8 |      6,153 |        617 |        897 |      7,667 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/writers                                                                                            |         46 |     13,014 |      1,760 |      2,246 |     17,020 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/writers (Files)                                                                                    |          6 |      2,599 |        311 |        608 |      3,518 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/writers/html4css1                                                                                  |          2 |        974 |        120 |        213 |      1,307 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/writers/html5_polyglot                                                                             |          7 |      1,778 |        405 |        227 |      2,410 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/writers/latex2e                                                                                    |          6 |      2,647 |        557 |        420 |      3,624 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/writers/odf_odt                                                                                    |          3 |      3,110 |        150 |        391 |      3,651 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/writers/pep_html                                                                                   |          2 |        321 |         25 |        101 |        447 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/writers/s5_html                                                                                    |         19 |      1,483 |        168 |        264 |      1,915 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/writers/s5_html (Files)                                                                            |          1 |        296 |         23 |         35 |        354 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/writers/s5_html/themes                                                                             |         18 |      1,187 |        145 |        229 |      1,561 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/writers/s5_html/themes/big-black                                                                   |          2 |         90 |         20 |         26 |        136 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/writers/s5_html/themes/big-white                                                                   |          2 |         88 |         20 |         25 |        133 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/writers/s5_html/themes/default                                                                     |          8 |        651 |         49 |         80 |        780 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/writers/s5_html/themes/medium-black                                                                |          1 |         85 |          8 |         23 |        116 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/writers/s5_html/themes/medium-white                                                                |          2 |         93 |         20 |         26 |        139 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/writers/s5_html/themes/small-black                                                                 |          1 |         86 |          8 |         23 |        117 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/writers/s5_html/themes/small-white                                                                 |          2 |         94 |         20 |         26 |        140 |
| .venv-pyplate/lib/python3.12/site-packages/docutils/writers/xetex                                                                                      |          1 |        102 |         24 |         22 |        148 |
| .venv-pyplate/lib/python3.12/site-packages/gi                                                                                                          |         24 |     -5,257 |       -840 |     -1,686 |     -7,783 |
| .venv-pyplate/lib/python3.12/site-packages/gi (Files)                                                                                                  |         13 |     -1,937 |       -379 |       -553 |     -2,869 |
| .venv-pyplate/lib/python3.12/site-packages/gi/overrides                                                                                                |         10 |     -3,315 |       -442 |     -1,128 |     -4,885 |
| .venv-pyplate/lib/python3.12/site-packages/gi/repository                                                                                               |          1 |         -5 |        -19 |         -5 |        -29 |
| .venv-pyplate/lib/python3.12/site-packages/idna                                                                                                        |          8 |     13,284 |         17 |        308 |     13,609 |
| .venv-pyplate/lib/python3.12/site-packages/idna-3.10.dist-info                                                                                         |          1 |         25 |          0 |          7 |         32 |
| .venv-pyplate/lib/python3.12/site-packages/imagesize                                                                                                   |          2 |        331 |         18 |         34 |        383 |
| .venv-pyplate/lib/python3.12/site-packages/imagesize-1.4.1.dist-info                                                                                   |          1 |         15 |          0 |          5 |         20 |
| .venv-pyplate/lib/python3.12/site-packages/jinja2                                                                                                      |         25 |     11,029 |        569 |      2,737 |     14,335 |
| .venv-pyplate/lib/python3.12/site-packages/mako                                                                                                        |         33 |      6,545 |        404 |      1,632 |      8,581 |
| .venv-pyplate/lib/python3.12/site-packages/mako (Files)                                                                                                |         17 |      5,660 |        330 |      1,368 |      7,358 |
| .venv-pyplate/lib/python3.12/site-packages/mako/ext                                                                                                    |          9 |        466 |         55 |        114 |        635 |
| .venv-pyplate/lib/python3.12/site-packages/mako/testing                                                                                                |          7 |        419 |         19 |        150 |        588 |
| .venv-pyplate/lib/python3.12/site-packages/markdown                                                                                                    |         33 |      5,548 |        971 |      1,604 |      8,123 |
| .venv-pyplate/lib/python3.12/site-packages/markdown (Files)                                                                                            |         14 |      3,060 |        498 |        882 |      4,440 |
| .venv-pyplate/lib/python3.12/site-packages/markdown/extensions                                                                                         |         19 |      2,488 |        473 |        722 |      3,683 |
| .venv-pyplate/lib/python3.12/site-packages/markupsafe                                                                                                  |          4 |        465 |         16 |        131 |        612 |
| .venv-pyplate/lib/python3.12/site-packages/packaging                                                                                                   |         14 |      3,257 |        533 |        839 |      4,629 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc                                                                                                        |         46 |      7,220 |        228 |      2,211 |      9,659 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc (Files)                                                                                                |          8 |      2,758 |        154 |        565 |      3,477 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test                                                                                                   |         38 |      4,462 |         74 |      1,646 |      6,182 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test (Files)                                                                                           |          2 |      1,480 |         52 |        252 |      1,784 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg                                                                                       |         36 |      2,982 |         22 |      1,394 |      4,398 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg (Files)                                                                               |          4 |        802 |          6 |        371 |      1,179 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/_exclude_dir                                                                          |          2 |          2 |          0 |          2 |          4 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/_exclude_dir (Files)                                                                  |          1 |          1 |          0 |          1 |          2 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/_exclude_dir/downloaded_modules                                                       |          1 |          1 |          0 |          1 |          2 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/_namespace                                                                            |         10 |         19 |          0 |         16 |         35 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/_namespace/1                                                                          |          2 |          5 |          0 |          4 |          9 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/_namespace/1/a                                                                        |          1 |          2 |          0 |          1 |          3 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/_namespace/1/a/a                                                                      |          1 |          2 |          0 |          1 |          3 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/_namespace/1/b                                                                        |          1 |          3 |          0 |          3 |          6 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/_namespace/1/b/a                                                                      |          1 |          3 |          0 |          3 |          6 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/_namespace/2                                                                          |          4 |          7 |          0 |          6 |         13 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/_namespace/2/a                                                                        |          2 |          3 |          0 |          2 |          5 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/_namespace/2/a/a                                                                      |          2 |          3 |          0 |          2 |          5 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/_namespace/2/b                                                                        |          2 |          4 |          0 |          4 |          8 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/_namespace/2/b/a                                                                      |          2 |          4 |          0 |          4 |          8 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/_namespace/3                                                                          |          4 |          7 |          0 |          6 |         13 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/_namespace/3/a                                                                        |          2 |          3 |          0 |          2 |          5 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/_namespace/3/a/a                                                                      |          2 |          3 |          0 |          2 |          5 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/_namespace/3/b                                                                        |          2 |          4 |          0 |          4 |          8 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/_namespace/3/b/a                                                                      |          2 |          4 |          0 |          4 |          8 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/_private                                                                              |          3 |        795 |          6 |        369 |      1,170 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/_reST_include                                                                         |          3 |         19 |          0 |          6 |         25 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/_relative_import                                                                      |          2 |          1 |          0 |          2 |          3 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/_resolve_typing_forwardrefs                                                           |          2 |          7 |          0 |          6 |         13 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/_skip_errors                                                                          |          1 |          1 |          0 |          1 |          2 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/_test_linking                                                                         |          4 |         11 |          0 |          6 |         17 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/_test_linking (Files)                                                                 |          2 |          4 |          0 |          2 |          6 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/_test_linking/b                                                                       |          2 |          7 |          0 |          4 |         11 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/subpkg                                                                                |          2 |        530 |          4 |        246 |        780 |
| .venv-pyplate/lib/python3.12/site-packages/pdoc/test/example_pkg/subpkg2                                                                               |          3 |        795 |          6 |        369 |      1,170 |
| .venv-pyplate/lib/python3.12/site-packages/pygments                                                                                                    |        327 |    107,329 |      5,442 |      9,823 |    122,594 |
| .venv-pyplate/lib/python3.12/site-packages/pygments (Files)                                                                                            |         16 |      2,664 |        201 |        599 |      3,464 |
| .venv-pyplate/lib/python3.12/site-packages/pygments/filters                                                                                            |          1 |        858 |          3 |         80 |        941 |
| .venv-pyplate/lib/python3.12/site-packages/pygments/formatters                                                                                         |         14 |      3,173 |        153 |        732 |      4,058 |
| .venv-pyplate/lib/python3.12/site-packages/pygments/lexers                                                                                             |        248 |     97,697 |      5,055 |      7,591 |    110,343 |
| .venv-pyplate/lib/python3.12/site-packages/pygments/styles                                                                                             |         48 |      2,937 |         30 |        821 |      3,788 |
| .venv-pyplate/lib/python3.12/site-packages/pygtkcompat                                                                                                 |          3 |       -757 |        -81 |       -239 |     -1,077 |
| .venv-pyplate/lib/python3.12/site-packages/requests                                                                                                    |         18 |      4,123 |        437 |      1,100 |      5,660 |
| .venv-pyplate/lib/python3.12/site-packages/snowballstemmer                                                                                             |         32 |     21,232 |         32 |      1,857 |     23,121 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx                                                                                                      |        379 |     84,278 |      7,202 |     13,530 |    105,010 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx (Files)                                                                                              |         19 |      5,182 |        327 |      1,331 |      6,840 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx-8.1.3.dist-info                                                                                      |          1 |         25 |          0 |          7 |         32 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/_cli                                                                                                 |          4 |        470 |         18 |        118 |        606 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/_cli (Files)                                                                                         |          1 |        263 |          8 |         46 |        317 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/_cli/util                                                                                            |          3 |        207 |         10 |         72 |        289 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/builders                                                                                             |         23 |      6,236 |        416 |      1,215 |      7,867 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/builders (Files)                                                                                     |         13 |      3,346 |        246 |        665 |      4,257 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/builders/html                                                                                        |          4 |      1,486 |        117 |        258 |      1,861 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/builders/latex                                                                                       |          6 |      1,404 |         53 |        292 |      1,749 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/cmd                                                                                                  |          4 |      1,372 |         24 |        195 |      1,591 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/directives                                                                                           |          4 |      1,245 |         95 |        247 |      1,587 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/domains                                                                                              |         23 |     15,392 |      1,093 |      2,606 |     19,091 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/domains (Files)                                                                                      |          9 |      1,653 |         68 |        415 |      2,136 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/domains/c                                                                                            |          5 |      3,591 |        262 |        620 |      4,473 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/domains/cpp                                                                                          |          5 |      7,662 |        572 |      1,130 |      9,364 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/domains/python                                                                                       |          3 |      1,491 |        125 |        290 |      1,906 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/domains/std                                                                                          |          1 |        995 |         66 |        151 |      1,212 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/environment                                                                                          |         11 |      1,989 |        232 |        384 |      2,605 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/environment (Files)                                                                                  |          1 |        623 |         95 |        123 |        841 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/environment/adapters                                                                                 |          4 |        689 |         76 |        107 |        872 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/environment/collectors                                                                               |          6 |        677 |         61 |        154 |        892 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/ext                                                                                                  |         37 |     10,797 |        725 |      2,337 |     13,859 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/ext (Files)                                                                                          |         17 |      3,572 |        185 |        786 |      4,543 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/ext/autodoc                                                                                          |          7 |      3,156 |        332 |        715 |      4,203 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/ext/autosummary                                                                                      |          5 |      1,410 |         99 |        339 |      1,848 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/ext/autosummary (Files)                                                                              |          2 |      1,356 |         79 |        316 |      1,751 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/ext/autosummary/templates                                                                            |          3 |         54 |         20 |         23 |         97 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/ext/autosummary/templates/autosummary                                                                |          3 |         54 |         20 |         23 |         97 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/ext/intersphinx                                                                                      |          6 |      1,056 |         81 |        201 |      1,338 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/ext/napoleon                                                                                         |          2 |      1,603 |         28 |        296 |      1,927 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale                                                                                               |         68 |      4,402 |         15 |         57 |      4,474 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale (Files)                                                                                       |          1 |        168 |         15 |         57 |        240 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/ar                                                                                            |          1 |         67 |          0 |          0 |         67 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/ar/LC_MESSAGES                                                                                |          1 |         67 |          0 |          0 |         67 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/bg                                                                                            |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/bg/LC_MESSAGES                                                                                |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/bn                                                                                            |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/bn/LC_MESSAGES                                                                                |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/ca                                                                                            |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/ca/LC_MESSAGES                                                                                |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/cak                                                                                           |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/cak/LC_MESSAGES                                                                               |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/cs                                                                                            |          1 |         65 |          0 |          0 |         65 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/cs/LC_MESSAGES                                                                                |          1 |         65 |          0 |          0 |         65 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/cy                                                                                            |          1 |         65 |          0 |          0 |         65 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/cy/LC_MESSAGES                                                                                |          1 |         65 |          0 |          0 |         65 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/da                                                                                            |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/da/LC_MESSAGES                                                                                |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/de                                                                                            |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/de/LC_MESSAGES                                                                                |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/de_DE                                                                                         |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/de_DE/LC_MESSAGES                                                                             |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/el                                                                                            |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/el/LC_MESSAGES                                                                                |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/en_DE                                                                                         |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/en_DE/LC_MESSAGES                                                                             |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/en_FR                                                                                         |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/en_FR/LC_MESSAGES                                                                             |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/en_GB                                                                                         |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/en_GB/LC_MESSAGES                                                                             |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/en_HK                                                                                         |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/en_HK/LC_MESSAGES                                                                             |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/eo                                                                                            |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/eo/LC_MESSAGES                                                                                |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/es                                                                                            |          1 |         64 |          0 |          0 |         64 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/es/LC_MESSAGES                                                                                |          1 |         64 |          0 |          0 |         64 |
